timestamp_pacific,event_id,event,direction,command,result,argument,source,opcode1,opcode2,nak_code,nak_reason,operational_state,operational_state_name,details
2026-07-26T18:38:32.462-07:00,shed_1,command_completed,outbound,shed,ok,13,schedule,1,13,,,,,
2026-07-26T18:39:16.481-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:39:16.590-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:39:16.760-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:39:16.761-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:39:16.910-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:39:17.006-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,4,,,4,Idle Curtailed,
2026-07-26T18:39:17.046-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:40:17.071-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:40:17.203-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:40:17.373-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:40:17.374-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:40:17.523-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:40:17.635-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,4,,,4,Idle Curtailed,
2026-07-26T18:40:17.676-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:41:16.700-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:41:16.841-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:41:16.995-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:41:16.995-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
